Round,,Object 0,,,Object 1,,,Object 2,,,Object 3,,,Object 4,,,Object 5,,,Object 6,,,Object 7,,,Object 8,,,Object 9,
,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y
58,,2.82,17.52,,57.94,86.2,,37.21,56.84,,17.99,91.47,,87.07,83.24,,72.99,48.58,,77.77,5.53,,87.59,68.96,,18.94,47.92,,40.53,15.65
59,,2.01,19.9,,57.93,86.61,,38.35,58,,19.56,91.41,,87.34,84.13,,74.8,50.85,,77.53,4.92,,88.92,68.52,,18.77,46.41,,40.78,15.97
60,,2.83,22.11,,57.85,87.28,,39.5,59.21,,20.96,91.56,,87.81,85.56,,76.63,52.84,,77.42,4.14,,90.64,67.87,,18.35,44.89,,41.02,16.08
61,,3.37,24.12,,57.72,88.22,,40.62,60.46,,22.15,91.91,,88.46,87.44,,78.43,54.54,,77.44,3.18,,92.81,67.15,,17.74,43.39,,41.27,15.97
62,,3.61,25.9,,57.56,89.4,,41.69,61.7,,23.15,92.46,,89.29,89.68,,80.16,55.92,,77.57,2.06,,95.46,66.44,,17,41.98,,41.53,15.66
63,,3.49,27.41,,57.4,90.81,,42.7,62.93,,23.95,93.2,,90.29,92.23,,81.78,57.04,,77.82,3.18,,98.58,65.76,,16.23,40.72,,41.8,15.16
64,,2.94,28.6,,57.23,92.46,,43.66,64.11,,24.53,94.14,,91.45,95.03,,83.28,57.94,,78.19,4.14,,95.46,65.12,,15.5,39.66,,42.08,14.46
65,,1.9,29.47,,57.08,94.34,,44.55,65.25,,24.9,95.26,,92.79,98.09,,84.36,58.42,,78.68,4.94,,93.09,64.73,,14.91,38.82,,42.35,13.58
66,,2.97,30.04,,56.96,96.44,,45.37,66.33,,25.05,96.54,,94.31,95.05,,84.66,58.12,,79.3,5.59,,91.81,64.98,,14.51,38.19,,42.61,12.53
67,,3.37,30.21,,56.85,98.79,,46.11,67.36,,24.99,98,,96.03,92.26,,84.26,56.84,,80.03,6.08,,91.53,66.01,,14.44,37.87,,42.87,11.29
68,,3.08,29.97,,56.79,96.44,,46.77,68.36,,24.71,96.55,,97.96,89.76,,83.65,54.91,,80.89,6.42,,91.73,67.46,,14.73,37.88,,43.1,9.88
69,,2.2,29.39,,56.77,94.36,,47.33,69.29,,24.22,95.27,,96.02,87.6,,83.01,52.6,,81.87,6.6,,92.18,69.01,,15.31,38.15,,43.32,8.29
70,,3.03,28.54,,56.8,92.59,,47.78,70.11,,23.49,94.17,,94.33,85.91,,82.43,50,,82.98,6.63,,92.83,70.41,,16.04,38.58,,43.51,6.52
71,,3.41,27.4,,56.87,91.16,,48.12,70.79,,22.54,93.24,,92.88,84.88,,81.91,47.19,,84.2,6.5,,93.68,71.43,,16.91,39.21,,43.67,4.58
72,,3.43,25.99,,56.99,90.09,,48.34,71.31,,21.37,92.49,,91.57,84.66,,81.47,44.22,,85.55,6.2,,94.84,71.88,,17.84,40,,43.81,2.45
73,,3.15,24.37,,57.17,89.42,,48.41,71.65,,19.97,91.9,,90.25,85.18,,81.11,41.11,,87.02,5.74,,96.42,71.8,,18.78,40.89,,43.91,4.57
74,,2.61,22.57,,57.41,89.14,,48.32,71.79,,18.37,91.48,,88.9,86.2,,80.83,37.93,,88.61,5.09,,98.45,71.43,,19.68,41.86,,44,6.52
75,,1.83,20.61,,57.71,89.24,,48.1,71.74,,16.56,91.21,,87.6,87.53,,80.63,34.69,,90.33,4.24,,96.44,70.91,,20.49,42.86,,44.06,8.28
76,,2.59,18.51,,58.03,89.72,,47.72,71.54,,14.56,91.09,,86.41,89.24,,80.51,31.42,,92.19,3.2,,94.74,70.2,,21.19,43.88,,44.1,9.86
77,,3.15,16.28,,58.35,90.53,,47.22,71.21,,12.38,91.12,,85.41,91.26,,80.47,28.14,,94.19,1.94,,93.31,69.35,,21.77,44.91,,44.12,11.26
78,,3.53,13.92,,58.62,91.65,,46.6,70.8,,10.02,91.28,,84.61,93.57,,80.5,24.86,,96.35,3.2,,92.12,68.38,,22.2,45.94,,44.12,12.49
79,,3.73,11.43,,58.82,93.03,,45.9,70.33,,7.49,91.56,,84.04,96.13,,80.56,21.59,,98.71,4.23,,91.14,67.34,,22.49,46.95,,44.1,13.54
80,,3.78,8.82,,58.92,94.64,,45.15,69.85,,4.81,91.97,,83.71,98.91,,80.62,18.33,,96.33,5.06,,90.36,66.24,,22.61,47.92,,44.04,14.44
81,,3.66,6.09,,58.92,96.45,,44.35,69.37,,1.97,92.48,,83.62,96.14,,80.58,15.16,,94.29,5.6,,89.76,65.11,,22.56,48.86,,43.95,15.19
82,,3.41,3.25,,58.8,98.5,,43.54,68.94,,4.8,93.1,,83.78,93.55,,80.29,12.13,,92.75,5.79,,89.33,63.92,,22.31,49.74,,43.82,15.82
83,,3.02,0.29,,58.57,96.44,,42.72,68.56,,7.48,93.84,,84.17,91.13,,79.52,9.26,,91.91,5.6,,89.09,62.65,,21.87,50.56,,43.62,16.32
84,,2.51,3.24,,58.28,94.64,,41.9,68.22,,9.99,94.72,,84.8,88.9,,78.17,6.42,,91.88,5.15,,89.03,61.28,,21.2,51.3,,43.37,16.72
85,,1.85,6.09,,57.95,93.09,,41.1,67.92,,12.34,95.75,,85.64,86.87,,76.38,3.44,,92.52,4.61,,89.15,59.82,,20.31,51.96,,43.06,17
86,,2.51,8.82,,57.61,91.79,,40.3,67.64,,14.52,96.95,,86.7,85.05,,74.36,0.25,,93.6,4.05,,89.44,58.24,,19.17,52.54,,42.7,17.19
87,,3.01,11.44,,57.28,90.73,,39.52,67.38,,16.54,98.33,,87.96,83.42,,72.24,3.46,,94.98,3.44,,89.9,56.55,,17.79,53.06,,42.29,17.27
88,,3.33,13.93,,57,89.9,,38.76,67.14,,18.41,96.94,,89.42,82,,70.08,6.54,,96.64,2.71,,90.52,54.74,,16.17,53.53,,41.83,17.26
89,,3.48,16.3,,56.79,89.3,,38.02,66.9,,20.1,95.77,,91.06,80.77,,67.96,9.48,,98.5,1.84,,91.3,52.84,,14.29,53.96,,41.29,17.15
90,,3.43,18.54,,56.67,88.93,,37.3,66.65,,21.62,94.84,,92.88,79.72,,65.94,12.28,,96.66,2.71,,92.23,50.86,,12.16,54.36,,40.64,16.93
91,,3.18,20.63,,56.66,88.77,,36.6,66.37,,22.97,94.15,,94.88,78.86,,64.04,14.95,,95.01,3.43,,93.31,48.81,,9.79,54.76,,39.85,16.58
92,,2.73,22.57,,56.78,88.81,,35.92,66.06,,24.15,93.72,,97.04,78.16,,62.27,17.51,,93.53,4,,94.55,46.71,,7.18,55.19,,38.91,16.09
93,,2.08,24.35,,57.03,89.05,,35.25,65.7,,25.16,93.56,,99.37,77.61,,60.64,19.98,,92.21,4.38,,95.93,44.58,,4.33,55.67,,37.79,15.42
94,,2.73,25.97,,57.43,89.47,,34.6,65.31,,26.01,93.66,,97.05,77.21,,59.17,22.41,,91.03,4.59,,97.48,42.43,,1.26,56.22,,36.5,14.55
95,,3.19,27.43,,57.95,90.08,,33.93,64.87,,26.7,94.02,,94.88,76.93,,57.82,24.8,,89.99,4.6,,99.2,40.26,,4.33,56.87,,35.07,13.46
96,,3.42,28.72,,58.6,90.86,,33.3,64.43,,27.24,94.65,,92.88,76.76,,56.58,27.18,,89.07,4.42,,97.47,38.09,,7.15,57.6,,33.54,12.1
97,,3.42,29.85,,59.37,91.83,,32.74,64.01,,27.63,95.55,,91.05,76.7,,55.42,29.51,,88.26,4.03,,95.94,35.93,,9.67,58.42,,31.94,10.5
98,,3.17,30.83,,60.23,93,,32.3,63.64,,27.89,96.71,,89.42,76.72,,54.33,31.8,,87.55,3.42,,94.6,33.78,,11.87,59.29,,30.27,8.63
99,,2.67,31.67,,61.18,94.36,,32.04,63.34,,28.02,98.13,,88,76.82,,53.3,34.03,,86.93,2.59,,93.46,31.66,,13.67,60.22,,28.54,6.52
